metric,value
Year=2017; Rating=[180000 - 190000],17
Year=2010; Rating=[180000 - 190000],9
Year=2016; Rating=[620000 - 630000],1
Year=2013; Rating=[1860000 - 1870000],1
Year=2021; Rating=[80000 - 90000],70
Year=2012; Rating=[1960000 - 1970000],1
Year=2020; Rating=[280000 - 290000],15
Year=2012; Rating=[280000 - 290000],8
Year=2014; Rating=[140000 - 150000],42
Year=2012; Rating=[170000 - 180000],18
Year=2010; Rating=[520000 - 530000],2
Year=2013; Rating=[220000 - 230000],18
Year=2018; Rating=[620000 - 630000],4
Year=2010; Rating=[60000 - 70000],33
Year=2010; Rating=[2070000 - 2080000],1
Year=2017; Rating=[1150000 - 1160000],3
Year=2014; Rating=[310000 - 320000],13
Year=2018; Rating=[410000 - 420000],6
Year=2010; Rating=[610000 - 620000],2
Year=2017; Rating=[560000 - 570000],8
Year=2019; Rating=[260000 - 270000],16
Year=2017; Rating=[120000 - 130000],44
Year=2010; Rating=[6260000 - 6270000],1
Year=2012; Rating=[850000 - 860000],2
Year=2011; Rating=[130000 - 140000],17
Year=2021; Rating=[160000 - 170000],12
Year=2014; Rating=[470000 - 480000],10
Year=2011; Rating=[1400000 - 1410000],1
Year=2017; Rating=[570000 - 580000],5
Year=2010; Rating=[530000 - 540000],1
Year=2013; Rating=[170000 - 180000],17
Year=2021; Rating=[210000 - 220000],7
Year=2010; Rating=[350000 - 360000],5
Year=2011; Rating=[13530000 - 13540000],1
Year=2012; Rating=[100000 - 110000],37
Year=2010; Rating=[720000 - 730000],1
Year=2014; Rating=[100000 - 110000],63
Year=2012; Rating=[350000 - 360000],10
Year=2015; Rating=[120000 - 130000],31
Year=2013; Rating=[11180000 - 11190000],1
Year=2014; Rating=[170000 - 180000],36
Year=2011; Rating=[1070000 - 1080000],1
Year=2018; Rating=[130000 - 140000],47
Year=2010; Rating=[240000 - 250000],4
Year=2013; Rating=[350000 - 360000],12
Year=2015; Rating=[950000 - 960000],1
Year=2012; Rating=[190000 - 200000],15
Year=2010; Rating=[7690000 - 7700000],1
Year=2012; Rating=[150000 - 160000],11
Year=2017; Rating=[210000 - 220000],15
Year=2014; Rating=[330000 - 340000],5
Year=2014; Rating=[8200000 - 8210000],1
Year=2015; Rating=[470000 - 480000],9
Year=2012; Rating=[17770000 - 17780000],1
Year=2010; Rating=[166410000 - 166420000],1
Year=2011; Rating=[210000 - 220000],9
Year=2010; Rating=[120000 - 130000],10
Year=2012; Rating=[240000 - 250000],9
Year=2015; Rating=[210000 - 220000],20
Year=2015; Rating=[720000 - 730000],3
Year=2015; Rating=[290000 - 300000],9
Year=2015; Rating=[330000 - 340000],8
Year=2011; Rating=[120000 - 130000],21
Year=2016; Rating=[890000 - 900000],1
Year=2013; Rating=[80000 - 90000],65
