metric,value
Free=true; Genre=GAME_CARD; Year=2020,1828
Free=true; Genre=TOOLS; Year=2014,4928
Free=true; Genre=HOUSE_AND_HOME; Year=2022,2966
Free=true; Genre=GAME_TRIVIA; Year=2012,57
Free=true; Genre=ENTERTAINMENT; Year=2020,38188
Free=true; Genre=GAME_ACTION; Year=2013,206
Free=false; Genre=GAME_ADVENTURE; Year=2018,169
Free=true; Genre=GAME_CASINO; Year=2013,126
Free=true; Genre=GAME_RACING; Year=2020,2270
Free=true; Genre=HEALTH_AND_FITNESS; Year=2015,244
Free=false; Genre=HEALTH_AND_FITNESS; Year=2019,325
Free=true; Genre=DATING; Year=2017,326
Free=true; Genre=BUSINESS; Year=2015,6843
Free=true; Genre=DATING; Year=2010,7
Free=true; Genre=EVENTS; Year=2015,71
Free=true; Genre=GAME_WORD; Year=2010,10
Free=false; Genre=COMICS; Year=2022,5
Free=true; Genre=GAME_SPORTS; Year=2018,870
Free=true; Genre=AUTO_AND_VEHICLES; Year=2017,2543
Free=true; Genre=DATING; Year=2021,2388
Free=false; Genre=GAME_EDUCATIONAL; Year=2013,66
Free=false; Genre=AUTO_AND_VEHICLES; Year=2017,79
Free=false; Genre=BOOKS_AND_REFERENCE; Year=2014,1014
Free=false; Genre=GAME_ACTION; Year=2016,113
Free=true; Genre=GAME_ADVENTURE; Year=2014,470
Free=true; Genre=GAME_BOARD; Year=2018,1123
Free=true; Genre=GAME_STRATEGY; Year=2015,415
Free=false; Genre=GAME_WORD; Year=2018,42
Free=false; Genre=BUSINESS; Year=2014,138
Free=true; Genre=MEDICAL; Year=2019,8683
Free=true; Genre=GAME_ADVENTURE; Year=2019,3991
Free=false; Genre=FOOD_AND_DRINK; Year=2022,27
Free=true; Genre=GAME_CASUAL; Year=2018,4406
Free=true; Genre=GAME_ARCADE; Year=2019,9866
Free=true; Genre=GAME_CASUAL; Year=2015,2425
Free=false; Genre=GAME_SIMULATION; Year=2016,104
Free=false; Genre=AUTO_AND_VEHICLES; Year=2016,37
Free=true; Genre=DATING; Year=2013,32
Free=true; Genre=GAME_WORD; Year=2021,2918
Free=true; Genre=GAME_CARD; Year=2015,545
Free=false; Genre=GAME_SIMULATION; Year=2019,143
Free=true; Genre=GAME_WORD; Year=2015,421
Free=false; Genre=BUSINESS; Year=2011,65
Free=false; Genre=BUSINESS; Year=2016,201
Free=true; Genre=FINANCE; Year=2015,3345
Free=true; Genre=GAME_CASINO; Year=2020,1090
Free=true; Genre=BUSINESS; Year=2013,2573
Free=true; Genre=EDUCATION; Year=2011,684
Free=true; Genre=GAME_EDUCATIONAL; Year=2010,14
Free=true; Genre=GAME_MUSIC; Year=2018,311
Free=true; Genre=AUTO_AND_VEHICLES; Year=2021,7573
Free=true; Genre=GAME_ADVENTURE; Year=2017,1779
Free=false; Genre=GAME_TRIVIA; Year=2022,22
Free=true; Genre=TOOLS; Year=2022,39642
Free=true; Genre=VIDEO_PLAYERS; Year=2022,3353
Free=true; Genre=MUSIC_AND_AUDIO; Year=2018,15479
Free=false; Genre=FINANCE; Year=2011,56
Free=true; Genre=GAME_SIMULATION; Year=2014,630
Free=true; Genre=LIFESTYLE; Year=2022,21205
Free=true; Genre=LIBRARIES_AND_DEMO; Year=2019,1293
Free=false; Genre=EDUCATION; Year=2021,1388
Free=true; Genre=EVENTS; Year=2017,1269
Free=true; Genre=GAME_CASUAL; Year=2011,273
Free=true; Genre=GAME_EDUCATIONAL; Year=2016,1667
Free=true; Genre=LIFESTYLE; Year=2019,23675
Free=false; Genre=EDUCATION; Year=2015,886
Free=false; Genre=ENTERTAINMENT; Year=2022,459
Free=true; Genre=GAME_EDUCATIONAL; Year=2017,2338
